Rank,Name,HomeTown,Position,Height,Weight,Committed_To,Year,Conference,County
8,Paris Johnson Jr.,"Cincinnati, OH",OT,6 ft 7 in,290,Ohio State,2020,Big Ten,Unknown
9,Jalen Carter,"Apopka, FL",DT,6 ft 3 in,301,Georgia,2020,SEC,Unknown
10,Arik Gilbert,"Marietta, GA",TE,6 ft 5 in,253,LSU,2020,SEC,Unknown
11,Justin Flowe,"Upland, CA",ILB,6 ft 2 in,225,Oregon,2020,Pac-12,Unknown
12,Trenton Simpson,"Charlotte, NC",OLB,6 ft 3 in,224,Clemson,2020,ACC,Unknown
13,Drew Sanders,"Denton, TX",ATH,6 ft 5 in,232,Alabama,2020,SEC,Unknown
14,Myles Murphy,"Powder Springs, GA",SDE,6 ft 5 in,260,Clemson,2020,ACC,Unknown
15,Jaxon Smith-Njigba,"Rockwall, TX",WR,6 ft 1 in,188,Ohio State,2020,Big Ten,Unknown
16,Jaylon Jones,"Cibolo, TX",S,6 ft 1.5 in,190,Texas A&M,2020,SEC,Unknown
17,Jordan Burch,"Columbia, SC",DT,6 ft 5 in,275,South Carolina,2020,SEC,Unknown
18,Eli Ricks,"Rancho Cucamonga, CA",CB,6 ft 2 in,192,LSU,2020,SEC,Unknown
19,Noah Sewell,"Orem, UT",ILB,6 ft 2 in,266,Oregon,2020,Pac-12,Unknown
20,Kayshon Boutte,"New Iberia, LA",WR,6 ft 0 in,180,LSU,2020,SEC,Unknown
21,Bijan Robinson,"Tucson, AZ",RB,6 ft 0 in,200,Texas,2020,Big 12,Unknown
22,Demorie Tate,"Orlando, FL",CB,6 ft 1 in,189,Florida State,2020,ACC,Unknown
23,Michael Mayer,"Alexandria, KY",TE,6 ft 4 in,232,Notre Dame,2020,Independent/ACC,Unknown
24,Curtis Jacobs,"Owings Mills, MD",OLB,6 ft 2 in,220,Penn State,2020,Big Ten,Unknown
25,Demarkcus Bowman,"Lakeland, FL",RB,5 ft 9 in,191,Clemson,2020,ACC,Unknown
26,Jack Nelson,"Stoughton, WI",OT,6 ft 7 in,273,Wisconsin,2020,Big Ten,Unknown
27,Peter Skoronski,"Park Ridge, IL",OC,6 ft 4 in,275,Northwestern,2020,Big Ten,Unknown
28,Tim Smith,"Sebastian, FL",DT,6 ft 4 in,320,Alabama,2020,SEC,Unknown
29,C.J. Stroud,"Rancho Cucamonga, CA",PRO,6 ft 2.5 in,194,Ohio State,2020,Big Ten,Unknown
30,Broderick Jones,"Lithonia, GA",OT,6 ft 5 in,298,Georgia,2020,SEC,Unknown
31,Demond Demas,"Tomball, TX",WR,6 ft 3 in,182,Texas A&M,2020,SEC,Unknown
32,Alfred Collins,"Bastrop, TX",SDE,6 ft 5 in,284,Texas,2020,Big 12,Unknown
1,Antonio Alfano,"Colonia, NJ",SDE,6 ft 4 in,285,Alabama,2019,SEC,Unknown
2,Derek Stingley,"Baton Rouge, LA",CB,6 ft 0.5 in,188,LSU,2019,SEC,Unknown
3,DeMarvin Leal,"Converse, TX",DT,6 ft 4 in,289,Texas A&M,2019,SEC,Unknown
4,Nolan Smith,"Bradenton, FL",WDE,6 ft 3 in,227,Georgia,2019,SEC,Manatee County
5,Travon Walker,"Thomaston, GA",DT,6 ft 5 in,285,Georgia,2019,SEC,Unknown
6,Kayvon Thibodeaux,"Thousand Oaks, CA",WDE,6 ft 4.5 in,239,Oregon,2019,Pac-12,Unknown
7,Logan Brown,"Grand Rapids, MI",OT,6 ft 6 in,305,Wisconsin,2019,Big Ten,Unknown
8,Charles Cross,"Laurel, MS",OT,6 ft 5 in,270,Mississippi State,2019,SEC,Unknown
9,Spencer Rattler,"Phoenix, AZ",PRO,6 ft 1 in,198,Oklahoma,2019,Big 12,Unknown
10,Bru McCoy,"Santa Ana, CA",ATH,6 ft 2 in,205,Texas,2019,Big 12,Unknown
11,John Emery Jr.,"Destrehan, LA",RB,5 ft 11 in,206,LSU,2019,SEC,Unknown
12,Brandon Smith,"Mineral, VA",ILB,6 ft 4 in,228,Penn State,2019,Big Ten,Unknown
13,Lance Dixon,"West Bloomfield, MI",OLB,6 ft 2 in,201,Penn State,2019,Big Ten,Unknown
14,Trey Sanders,"Bradenton, FL",RB,6 ft 0 in,214,Alabama,2019,SEC,Manatee County
15,Kyle Hamilton,"Atlanta, GA",S,6 ft 3 in,190,Notre Dame,2019,Independent/ACC,Unknown
16,Baylor Cupp,"Brock, TX",TE,6 ft 6 in,240,Texas A&M,2019,SEC,Unknown
17,Marcel Brooks,"Flower Mound, TX",OLB,6 ft 2 in,195,LSU,2019,SEC,Unknown
18,Zacch Pickens,"Anderson, SC",DT,6 ft 3 in,293,South Carolina,2019,SEC,Unknown
19,Jadon Haselwood,"Ellenwood, GA",WR,6 ft 2.5 in,196,Oklahoma,2019,Big 12,Unknown
20,Tyrique Stevenson,"Homestead, FL",CB,6 ft 0.5 in,202,Georgia,2019,SEC,Unknown
21,Nakobe Dean,"Horn Lake, MS",ILB,6 ft 0 in,220,Georgia,2019,SEC,Unknown
22,Zach Harrison,"Lewis Center, OH",SDE,6 ft 5 in,253,Ohio State,2019,Big Ten,Unknown
23,Daxton Hill,"Tulsa, OK",S,6 ft 0.5 in,186,Michigan,2019,Big Ten,Unknown
24,Tyler Owens,"Plano, TX",S,6 ft 2 in,197,Texas,2019,Big 12,Unknown
25,Darnell Wright,"Huntington, WV",OT,6 ft 6 in,320,Tennessee,2019,SEC,Unknown
26,Jerrion Ealy,"Flowood, MS",RB,5 ft 10 in,200,Ole Miss,2019,SEC,Unknown
27,George Karlaftis,"West Lafayette, IN",SDE,6 ft 4 in,265,Purdue,2019,Big Ten,Unknown
28,Owen Pappoe,"Loganville, GA",OLB,6 ft 0 in,210,Auburn,2019,SEC,Unknown
